Materia,ProbCert1a,NumMaxIntentosNuncaCert,IntentosPromNuncaCert,MedianaIntentosNuncaCert,ProbNoCertNunca,NumMaxIntentosSiCert,IntentosPromedioSiCert,MedianaIntentosSiCert
ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL,0.333333333333333,1,1,1,0.333333333333333,1,1,1
ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL. APORTES TEORICOS,0.8,1,1,1,0.2,-Inf,NaN,NA
ACTORES SOCIALES Y PARTICIPACION EN LA CIUDAD DE MEXICO,1,-Inf,NaN,NA,0,-Inf,NaN,NA
ADMINISTRACION DE LA CIUDAD DE MEXICO,0.75,1,1,1,0.25,-Inf,NaN,NA
ANALISIS CULTURAL,0.666666666666667,2,2,2,0.333333333333333,-Inf,NaN,NA
ANALISIS DE POLITICAS PUBLICAS,0.666666666666667,1,1,1,0.166666666666667,1,1,1
ANALISIS POLITICO (CON METODOS CUANTITATIVOS),1,-Inf,NaN,NA,0,-Inf,NaN,NA
ANALISIS POLITICO CON METODOS CUALITATIVOS,0.8,-Inf,NaN,NA,0,1,1,1
ANALISIS POLITICO CON METODOS CUANTITATIVOS,1,-Inf,NaN,NA,0,-Inf,NaN,NA
ANALISIS POLITICO DE COYUNTURA,1,-Inf,NaN,NA,0,-Inf,NaN,NA
ANTROPOLOGIA JURIDICA,0.576923076923077,3,1.5,1,0.307692307692308,2,1.33333333333333,1
ARGUMENTACION JURIDICA,0.512820512820513,4,1.57142857142857,1,0.358974358974359,2,1.2,1
BIENES Y SUCESIONES,0.7,2,1.18181818181818,1,0.275,1,1,1
CALCULO DIFERENCIAL E INTEGRAL,0,2,2,2,1,-Inf,NaN,NA
CIUDADANIA PARTICIPACION Y REPRESENTACION EN LOS SISTEMAS POLITICOS APORTES TEORICOS,1,-Inf,NaN,NA,0,-Inf,NaN,NA
CIUDADANIA PARTICIPACION Y REPRESENTACION. APORTES TEORICOS,0.5,-Inf,NaN,NA,0,1,1,1
CLINICA PROCESAL,0.875,1,1,1,0.09375,1,1,1
COMPUTACION I,0.5,1,1,1,0.5,-Inf,NaN,NA
CONTRATOS,0.666666666666667,2,1.2,1,0.208333333333333,1,1,1
CULTURA CIENTIFICA Y HUMANISTICA I,0.285714285714286,5,2,1.5,0.571428571428571,2,1.33333333333333,1
CULTURA CIENTIFICA Y HUMANISTICA II,0.666666666666667,2,1.33333333333333,1,0.2,4,3.5,3.5
CULTURA CIENTIFICA Y HUMANISTICA III,0.352941176470588,4,1.4375,1,0.470588235294118,3,1.83333333333333,2
CULTURA Y SOCIEDAD,1,-Inf,NaN,NA,0,-Inf,NaN,NA
DECISION POLITICA Y POLITICAS PUBLICAS,0.833333333333333,-Inf,NaN,NA,0,1,1,1
DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA,0.575757575757576,2,1.24,1,0.378787878787879,1,1,1
DELITOS EN PARTICULAR,0.526315789473684,2,1.23076923076923,1,0.342105263157895,3,1.6,1
DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS,1,-Inf,NaN,NA,0,-Inf,NaN,NA
DEMOCRACIA Y AUTORITARISMO EN LAS SOCIEDADES LATINOAMERICANAS CONTEMPORANEAS,0.5,-Inf,NaN,NA,0,1,1,1
DERECHO ADMINISTRATIVO,0.742857142857143,3,1.33333333333333,1,0.171428571428571,1,1,1
DERECHO AGRARIO,0.863636363636364,1,1,1,0.136363636363636,-Inf,NaN,NA
DERECHO AMBIENTAL,0.827586206896552,2,1.125,1,0.137931034482759,1,1,1
DERECHO CINE Y LITERATURA,0.5,1,1,1,0.5,-Inf,NaN,NA
DERECHO CONSTITUCIONAL,0.52,2,1.23529411764706,1,0.34,1,1,1
DERECHO DE AMPARO,0.627118644067797,3,1.17647058823529,1,0.288135593220339,3,1.4,1
DERECHO FISCAL,0.451612903225806,3,1.53333333333333,1,0.241935483870968,3,1.31578947368421,1
DERECHO INDIGENA,0.5,3,1.38461538461538,1,0.295454545454545,1,1,1
DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS,0.785714285714286,1,1,1,0.142857142857143,1,1,1
DERECHO INTERNACIONAL PRIVADO,0.558441558441558,2,1.26086956521739,1,0.298701298701299,2,1.18181818181818,1
DERECHO INTERNACIONAL PUBLICO,0.428571428571429,3,1.23076923076923,1,0.232142857142857,3,1.52631578947368,1
DERECHO LABORAL,0.75609756097561,2,1.25,1,0.195121951219512,1,1,1
DERECHO MERCANTIL,0.904761904761905,1,1,1,0.0476190476190476,1,1,1
DERECHOS HUMANOS,0.384615384615385,1,1,1,0.538461538461538,1,1,1
ELEMENTOS BASICOS DEL DERECHO,0.65625,2,1.1,1,0.3125,1,1,1
ESCRITURA CREATIVA I,0.6,2,1.5,1.5,0.4,-Inf,NaN,NA
ESCRITURA CREATIVA II,0.25,1,1,1,0.75,-Inf,NaN,NA
ESCRITURA CREATIVA III,0.5,1,1,1,0.5,-Inf,NaN,NA
ESTADO PARTIDOS Y SOCIEDAD CIVIL. APORTES TEORICOS,1,-Inf,NaN,NA,0,-Inf,NaN,NA
ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO,0.666666666666667,-Inf,NaN,NA,0,1,1,1
ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO (SIGLO XX),1,-Inf,NaN,NA,0,-Inf,NaN,NA
ESTUDIOS SOCIALES E HISTORICOS I,0.555555555555556,2,1.25,1,0.222222222222222,2,1.5,1.5
ESTUDIOS SOCIALES E HISTORICOS II,0.642857142857143,1,1,1,0.214285714285714,2,1.5,1.5
ESTUDIOS SOCIALES E HISTORICOS III,0.354838709677419,2,1.15384615384615,1,0.419354838709677,3,1.42857142857143,1
FILOSOFIA DEL DERECHO,0.666666666666667,4,1.5,1,0.274509803921569,2,1.33333333333333,1
FINANZAS PUBLICAS Y PRESUPUESTACION,1,-Inf,NaN,NA,0,-Inf,NaN,NA
FORMAS DE GOBIERNO Y SISTEMAS ELECTORALES EN AMERICA LATINA,1,-Inf,NaN,NA,0,-Inf,NaN,NA
FRANCES III,0,2,2,2,1,-Inf,NaN,NA
FUNDAMENTOS CONSTITUCIONALES DEL ESTADO MEXICANO,0.428571428571429,1,1,1,0.571428571428571,-Inf,NaN,NA
GLOBALIZACION CONCENTRACION Y EL NUEVO ORDEN INTERNACIONAL,1,-Inf,NaN,NA,0,-Inf,NaN,NA
GOBIERNO Y PODER EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS,0.5,1,1,1,0.5,-Inf,NaN,NA
HISTORIA DE LAS IDEAS POLITICAS,0.5,1,1,1,0.5,-Inf,NaN,NA
HISTORIA DEL DERECHO,0.55,3,1.33333333333333,1,0.3,2,1.5,1.5
IDENTIDADES ETNICAS RELIGIOSAS Y DE GENERO EN LA SOCIEDAD ACTUAL,0.5,2,2,2,0.25,1,1,1
IMPACTO DE LA GLOBALIZACION EN LOS CENTROS URBANOS. EXPERIENCIAS COMPARADAS,0.5,-Inf,NaN,NA,0,1,1,1
IMPACTO EN LA GLOBALIZACION EN LOS CENTROS URBANOS ANALISIS COMPARATIVOS,0.5,-Inf,NaN,NA,0,1,1,1
INGLES I,0.277777777777778,2,1.125,1,0.444444444444444,3,1.8,2
INGLES II,0.423076923076923,2,1.2,1,0.384615384615385,3,1.4,1
INGLES III,0.7,1,1,1,0.05,2,1.6,2
INTERNACIONALIZACION Y GLOBALIZACION. APORTES TEORICOS,1,-Inf,NaN,NA,0,-Inf,NaN,NA
LECTURA DE TEXTOS EN INGLES I,0.777777777777778,-Inf,NaN,NA,0,2,1.5,1.5
LECTURA DE TEXTOS EN INGLES II,0.583333333333333,3,1.66666666666667,1,0.25,2,1.25,1
LECTURA DE TEXTOS EN INGLES III,0.68,2,1.33333333333333,1,0.12,1,1,1
LEGALIDAD SOCIAL DEL DERECHO,0.75,1,1,1,0.1875,1,1,1
LENGUAJE Y PENSAMIENTO I,0.347826086956522,4,1.58333333333333,1,0.521739130434783,3,2.33333333333333,3
LENGUAJE Y PENSAMIENTO II,0.333333333333333,4,1.375,1,0.380952380952381,4,1.83333333333333,1
LENGUAJE Y PENSAMIENTO III,0.432432432432432,5,1.38461538461538,1,0.351351351351351,5,1.75,1
LOS GRANDES PROBLEMAS DE LA ADMINISTRACION EN LAS CIUDADES. EXPERIENCIAS COMPARADAS,1,-Inf,NaN,NA,0,-Inf,NaN,NA
MARCO JURIDICO DE LA ADMINISTRACION PUBLICA,0.666666666666667,1,1,1,0.333333333333333,-Inf,NaN,NA
METODOS Y TECNICAS DE INVESTIGACION,0.6875,2,1.11111111111111,1,0.28125,1,1,1
MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL,0.666666666666667,1,1,1,0.333333333333333,-Inf,NaN,NA
MEXICO Y AMERICA LATINA EN EL CONTEXTO INTERNACIONAL DEL SIGLO XX,1,-Inf,NaN,NA,0,-Inf,NaN,NA
NIVELES DE GOBIERNO,0.8,2,2,2,0.2,-Inf,NaN,NA
NOCIONES DE DERECHO CONSTITUCIONAL Y DERECHO ADMINISTRATIVO,1,-Inf,NaN,NA,0,-Inf,NaN,NA
OBLIGACIONES,0.627906976744186,3,1.25,1,0.186046511627907,2,1.25,1
ORGANIZACION Y AGENTES SOCIALES,0.6,-Inf,NaN,NA,0,1,1,1
PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO,0.75,-Inf,NaN,NA,0,4,4,4
PARTICIPACION Y REPRESENTACION EN EL MEXICO CONTEMPORANEO SIGLO XX,0.5,1,1,1,0.5,-Inf,NaN,NA
PENSAMIENTO CRITICO Y ARGUMENTACION,1,-Inf,NaN,NA,0,-Inf,NaN,NA
PERIODISMO ESCRITO: GENEROS INFORMATIVOS,1,-Inf,NaN,NA,0,-Inf,NaN,NA
PERSONA Y FAMILIA,0.558139534883721,2,1.14285714285714,1,0.325581395348837,2,1.2,1
PLANEACION CON PARTICIPACION EN LA CIUDAD DE MEXICO,1,-Inf,NaN,NA,0,-Inf,NaN,NA
POLITICA DE VIVIENDA EN MEXICO,0.5,1,1,1,0.5,-Inf,NaN,NA
PROBLEMAS CONTEMPORANEOS DE ETICA,1,-Inf,NaN,NA,0,-Inf,NaN,NA
PROBLEMAS JURIDICOS CONTEMPORANEOS,0.857142857142857,1,1,1,0.142857142857143,-Inf,NaN,NA
PROCESOS EN PARTICULAR,0.794871794871795,1,1,1,0.0769230769230769,2,1.4,1
PROCESOS SOCIOHISTORICOS I,0.6,-Inf,NaN,NA,0,2,1.5,1.5
PROCESOS SOCIOHISTORICOS II,0.5,1,1,1,0.5,-Inf,NaN,NA
PROCESOS SOCIOHISTORICOS III,0.666666666666667,1,1,1,0.333333333333333,-Inf,NaN,NA
REGIMEN DE COMERCIO EXTERIOR,0.791666666666667,2,1.16666666666667,1,0.125,1,1,1
REGIMEN JURIDICO DEL DISTRITO FEDERAL,0.435897435897436,3,1.29411764705882,1,0.435897435897436,1,1,1
SEMINARIO DE INVESTIGACION I,0.166666666666667,-Inf,NaN,NA,0,6,3.6,2
SEMINARIO DE INVESTIGACION II,0.5,-Inf,NaN,NA,0,5,3.5,3.5
SEMINARIO DE TESIS,0.666666666666667,1,1,1,0.196969696969697,2,1.22222222222222,1
SEMINARIO DE TESIS I: PROYECTO DE INVESTIGACION,0.5,1,1,1,0.5,-Inf,NaN,NA
SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS,0.489795918367347,2,1.0952380952381,1,0.428571428571429,3,1.75,1.5
SISTEMA POLITICO MEXICANO; DIVISION O CONCENTRACION DE PODERES,0.666666666666667,1,1,1,0.166666666666667,2,2,2
SOCIOLOGIA JURIDICA,0.514285714285714,2,1.64285714285714,2,0.4,2,1.33333333333333,1
TALLER DE ANALISIS POLITICO I,0.5,3,2,2,0.5,-Inf,NaN,NA
TALLER DE ANALISIS POLITICO II,0.5,1,1,1,0.5,-Inf,NaN,NA
TEORIA DE LA NORMA PENAL,0.456521739130435,2,1.3125,1,0.347826086956522,2,1.22222222222222,1
TEORIA DE LA ORGANIZACION EN EL CONTEXTO GLOBAL,1,-Inf,NaN,NA,0,-Inf,NaN,NA
TEORIA DEL ESTADO,0.527777777777778,1,1,1,0.277777777777778,2,1.28571428571429,1
TEORIA GENERAL DE LOS DERECHOS HUMANOS,0.527272727272727,2,1.09090909090909,1,0.4,1,1,1
TEORIA GENERAL DEL PROCESO,0.52,2,1.33333333333333,1,0.36,1,1,1
TEORIA POLITICA I,0.4,1,1,1,0.4,1,1,1
TEORIA POLITICA II,1,-Inf,NaN,NA,0,-Inf,NaN,NA
TEORIA POLITICA III,0.666666666666667,1,1,1,0.166666666666667,4,4,4
TEORIA POLITICA MODERNA,0.75,1,1,1,0.25,-Inf,NaN,NA
TEORIA Y SOCIOLOGIA DEL CONOCIMIENTO,0.25,2,1.5,1.5,0.5,1,1,1
